Dot centers and radii:
1717: 20.7846 -25.65 1.375
1718: 27.7128 -29.65 1.375
1719: 27.7128 -21.65 1.375
1720: 34.641 -25.65 1.375
1721: 34.641 -17.65 1.375
1722: 41.5692 -21.65 1.375
1723: 41.5692 -13.65 1.375
1724: 48.4974 -17.65 1.375
1725: 48.4974 -9.65 1.375
1726: 55.4256 -13.65 1.375
1727: 55.4256 -5.65 1.375
1728: 62.3538 -9.65 1.375
1729: 62.3538 -1.65 1.375
1730: 69.282 -5.65 1.375
1731: 69.282 2.35 1.375
1732: 76.2102 -1.65 1.375
1733: 76.2102 6.35 1.375
1734: 83.1384 2.35 1.375
1735: 83.1384 10.35 1.375
1736: 90.0666 6.35 1.375
1737: 90.0666 14.35 1.375
1738: 96.9948 10.35 1.375
1739: 96.9948 18.35 1.375
1740: 103.923 14.35 1.375
1741: 103.923 22.35 1.375
1742: 110.851 18.35 1.375
1743: 110.851 26.35 1.375
1744: 117.779 22.35 1.375
1745: 117.779 30.35 1.375
1746: 124.708 26.35 1.375
1747: 124.708 34.35 1.375
1748: 131.636 30.35 1.375
1749: 131.636 38.35 1.375
1750: 138.564 34.35 1.375
1751: 138.564 42.35 1.375
1752: 145.492 38.35 1.375
1753: 145.492 46.35 1.375
1754: 152.42 42.35 1.375
1755: 152.42 50.35 1.375
1756: 159.349 46.35 1.375
1757: 159.349 54.35 1.375
1758: 166.277 50.35 1.375
1759: 166.277 58.35 1.375
1760: 173.205 54.35 1.375
1761: 173.205 62.35 1.375
1762: 180.133 58.35 1.375
1763: 180.133 66.35 1.375
1764: 187.061 62.35 1.375
1765: 187.061 70.35 1.375
1766: 193.99 66.35 1.375
1767: 193.99 74.35 1.375
1768: 0 -53.65 1.375
1769: 6.9282 -57.65 1.375
1770: 6.9282 -49.65 1.375
1771: 13.8564 -53.65 1.375
1772: 13.8564 -45.65 1.375
1773: 20.7846 -49.65 1.375
1774: 20.7846 -41.65 1.375
1775: 27.7128 -45.65 1.375
1776: 27.7128 -37.65 1.375
1777: 34.641 -41.65 1.375
1778: 34.641 -33.65 1.375
1779: 41.5692 -37.65 1.375
1780: 41.5692 -29.65 1.375
1781: 48.4974 -33.65 1.375
1782: 48.4974 -25.65 1.375
1783: 55.4256 -29.65 1.375
1784: 55.4256 -21.65 1.375
1785: 62.3538 -25.65 1.375
1786: 62.3538 -17.65 1.375
1787: 69.282 -21.65 1.375
1788: 69.282 -13.65 1.375
1789: 76.2102 -17.65 1.375
1790: 76.2102 -9.65 1.375
1791: 83.1384 -13.65 1.375
1792: 83.1384 -5.65 1.375
1793: 90.0666 -9.65 1.375
1794: 90.0666 -1.65 1.375
1795: 96.9948 -5.65 1.375
1796: 96.9948 2.35 1.375
1797: 103.923 -1.65 1.375
1798: 103.923 6.35 1.375
1799: 110.851 2.35 1.375
1800: 110.851 10.35 1.375
1801: 117.779 6.35 1.375
1802: 117.779 14.35 1.375
1803: 124.708 10.35 1.375
1804: 124.708 18.35 1.375
1805: 131.636 14.35 1.375
1806: 131.636 22.35 1.375
1807: 138.564 18.35 1.375
1808: 138.564 26.35 1.375
1809: 145.492 22.35 1.375
1810: 145.492 30.35 1.375
1811: 152.42 26.35 1.375
1812: 152.42 34.35 1.375
1813: 159.349 30.35 1.375
1814: 159.349 38.35 1.375
1815: 166.277 34.35 1.375
1816: 166.277 42.35 1.375
1817: 173.205 38.35 1.375
1818: 173.205 46.35 1.375
1819: 180.133 42.35 1.375
1820: 180.133 50.35 1.375
1821: 187.061 46.35 1.375
1822: 187.061 54.35 1.375
1823: 193.99 50.35 1.375
1824: 193.99 58.35 1.375
1825: 0 -69.65 1.375
1826: 6.9282 -73.65 1.375
1827: 6.9282 -65.65 1.375
1828: 13.8564 -69.65 1.375
1829: 13.8564 -61.65 1.375
1830: 20.7846 -65.65 1.375
1831: 20.7846 -57.65 1.375
1832: 27.7128 -61.65 1.375
1833: 27.7128 -53.65 1.375
1834: 34.641 -57.65 1.375
1835: 34.641 -49.65 1.375
1836: 41.5692 -53.65 1.375
1837: 41.5692 -45.65 1.375
1838: 48.4974 -49.65 1.375
1839: 48.4974 -41.65 1.375
1840: 55.4256 -45.65 1.375
1841: 55.4256 -37.65 1.375
1842: 62.3538 -41.65 1.375
1843: 62.3538 -33.65 1.375
1844: 69.282 -37.65 1.375
1845: 69.282 -29.65 1.375
1846: 76.2102 -33.65 1.375
1847: 76.2102 -25.65 1.375
1848: 83.1384 -29.65 1.375
1849: 83.1384 -21.65 1.375
1850: 90.0666 -25.65 1.375
1851: 90.0666 -17.65 1.375
1852: 96.9948 -21.65 1.375
1853: 96.9948 -13.65 1.375
1854: 103.923 -17.65 1.375
1855: 103.923 -9.65 1.375
1856: 110.851 -13.65 1.375
1857: 110.851 -5.65 1.375
1858: 117.779 -9.65 1.375
1859: 117.779 -1.65 1.375
1860: 124.708 -5.65 1.375
1861: 124.708 2.35 1.375
1862: 131.636 -1.65 1.375
1863: 131.636 6.35 1.375
1864: 138.564 2.35 1.375
1865: 138.564 10.35 1.375
1866: 145.492 6.35 1.375
1867: 145.492 14.35 1.375
1868: 152.42 10.35 1.375
1869: 152.42 18.35 1.375
1870: 159.349 14.35 1.375
1871: 159.349 22.35 1.375
1872: 166.277 18.35 1.375
1873: 166.277 26.35 1.375
1874: 173.205 22.35 1.375
1875: 173.205 30.35 1.375
1876: 180.133 26.35 1.375
1877: 180.133 34.35 1.375
1878: 187.061 30.35 1.375
1879: 187.061 38.35 1.375
1880: 193.99 34.35 1.375
1881: 193.99 42.35 1.375
1882: 0 -85.65 1.375
1883: 6.9282 -89.65 1.375
1884: 6.9282 -81.65 1.375
1885: 13.8564 -85.65 1.375
1886: 13.8564 -77.65 1.375
1887: 20.7846 -81.65 1.375
1888: 20.7846 -73.65 1.375
1889: 27.7128 -77.65 1.375
1890: 27.7128 -69.65 1.375
1891: 34.641 -73.65 1.375
1892: 34.641 -65.65 1.375
1893: 41.5692 -69.65 1.375
1894: 41.5692 -61.65 1.375
1895: 48.4974 -65.65 1.375
1896: 48.4974 -57.65 1.375
1897: 55.4256 -61.65 1.375
1898: 55.4256 -53.65 1.375
1899: 62.3538 -57.65 1.375
1900: 62.3538 -49.65 1.375
1901: 69.282 -53.65 1.375
1902: 69.282 -45.65 1.375
1903: 76.2102 -49.65 1.375
1904: 76.2102 -41.65 1.375
1905: 83.1384 -45.65 1.375
1906: 83.1384 -37.65 1.375
1907: 90.0666 -41.65 1.375
1908: 90.0666 -33.65 1.375
1909: 96.9948 -37.65 1.375
1910: 96.9948 -29.65 1.375
1911: 103.923 -33.65 1.375
1912: 103.923 -25.65 1.375
1913: 110.851 -29.65 1.375
1914: 110.851 -21.65 1.375
1915: 117.779 -25.65 1.375
1916: 117.779 -17.65 1.375
1917: 124.708 -21.65 1.375
1918: 124.708 -13.65 1.375
1919: 131.636 -17.65 1.375
1920: 131.636 -9.65 1.375
1921: 138.564 -13.65 1.375
1922: 138.564 -5.65 1.375
1923: 145.492 -9.65 1.375
1924: 145.492 -1.65 1.375
1925: 152.42 -5.65 1.375
1926: 152.42 2.35 1.375
1927: 159.349 -1.65 1.375
1928: 159.349 6.35 1.375
1929: 166.277 2.35 1.375
1930: 166.277 10.35 1.375
1931: 173.205 6.35 1.375
1932: 173.205 14.35 1.375
1933: 180.133 10.35 1.375
1934: 180.133 18.35 1.375
1935: 187.061 14.35 1.375
1936: 187.061 22.35 1.375
1937: 193.99 18.35 1.375
1938: 193.99 26.35 1.375
1939: 0 -101.65 1.375
1940: 6.9282 -105.65 1.375
1941: 6.9282 -97.65 1.375
1942: 13.8564 -101.65 1.375
1943: 13.8564 -93.65 1.375
1944: 20.7846 -97.65 1.375
1945: 20.7846 -89.65 1.375
1946: 27.7128 -93.65 1.375
1947: 27.7128 -85.65 1.375
1948: 34.641 -89.65 1.375
1949: 34.641 -81.65 1.375
1950: 41.5692 -85.65 1.375
1951: 41.5692 -77.65 1.375
1952: 48.4974 -81.65 1.375
1953: 48.4974 -73.65 1.375
1954: 55.4256 -77.65 1.375
1955: 55.4256 -69.65 1.375
1956: 62.3538 -73.65 1.375
1957: 62.3538 -65.65 1.375
1958: 69.282 -69.65 1.375
1959: 69.282 -61.65 1.375
1960: 76.2102 -65.65 1.375
1961: 76.2102 -57.65 1.375
1962: 83.1384 -61.65 1.375
1963: 83.1384 -53.65 1.375
1964: 90.0666 -57.65 1.375
1965: 90.0666 -49.65 1.375
1966: 96.9948 -53.65 1.375
1967: 96.9948 -45.65 1.375
1968: 103.923 -49.65 1.375
1969: 103.923 -41.65 1.375
1970: 110.851 -45.65 1.375
1971: 110.851 -37.65 1.375
1972: 117.779 -41.65 1.375
1973: 117.779 -33.65 1.375
1974: 124.708 -37.65 1.375
1975: 124.708 -29.65 1.375
1976: 131.636 -33.65 1.375
1977: 131.636 -25.65 1.375
1978: 138.564 -29.65 1.375
1979: 138.564 -21.65 1.375
1980: 145.492 -25.65 1.375
1981: 145.492 -17.65 1.375
1982: 152.42 -21.65 1.375
1983: 152.42 -13.65 1.375
1984: 159.349 -17.65 1.375
1985: 159.349 -9.65 1.375
1986: 166.277 -13.65 1.375
1987: 166.277 -5.65 1.375
1988: 173.205 -9.65 1.375
1989: 173.205 -1.65 1.375
1990: 180.133 -5.65 1.375
1991: 180.133 2.35 1.375
1992: 187.061 -1.65 1.375
1993: 187.061 6.35 1.375
1994: 193.99 2.35 1.375
1995: 193.99 10.35 1.375
1996: 0 -117.65 1.375
1997: 6.9282 -121.65 1.375
1998: 6.9282 -113.65 1.375
1999: 13.8564 -117.65 1.375
2000: 13.8564 -109.65 1.375
2001: 20.7846 -113.65 1.375
2002: 20.7846 -105.65 1.375
2003: 27.7128 -109.65 1.375
2004: 27.7128 -101.65 1.375
2005: 34.641 -105.65 1.375
2006: 34.641 -97.65 1.375
2007: 41.5692 -101.65 1.375
2008: 41.5692 -93.65 1.375
2009: 48.4974 -97.65 1.375
2010: 48.4974 -89.65 1.375
2011: 55.4256 -93.65 1.375
2012: 55.4256 -85.65 1.375
2013: 62.3538 -89.65 1.375
2014: 62.3538 -81.65 1.375
2015: 69.282 -85.65 1.375
2016: 69.282 -77.65 1.375
2017: 76.2102 -81.65 1.375
2018: 76.2102 -73.65 1.375
2019: 83.1384 -77.65 1.375
2020: 83.1384 -69.65 1.375
2021: 90.0666 -73.65 1.375
2022: 90.0666 -65.65 1.375
2023: 96.9948 -69.65 1.375
2024: 96.9948 -61.65 1.375
2025: 103.923 -65.65 1.375
2026: 103.923 -57.65 1.375
2027: 110.851 -61.65 1.375
2028: 110.851 -53.65 1.375
2029: 117.779 -57.65 1.375
2030: 117.779 -49.65 1.375
2031: 124.708 -53.65 1.375
2032: 124.708 -45.65 1.375
2033: 131.636 -49.65 1.375
2034: 131.636 -41.65 1.375
2035: 138.564 -45.65 1.375
2036: 138.564 -37.65 1.375
2037: 145.492 -41.65 1.375
2038: 145.492 -33.65 1.375
2039: 152.42 -37.65 1.375
2040: 152.42 -29.65 1.375
2041: 159.349 -33.65 1.375
2042: 159.349 -25.65 1.375
2043: 166.277 -29.65 1.375
2044: 166.277 -21.65 1.375
2045: 173.205 -25.65 1.375
2046: 173.205 -17.65 1.375
2047: 180.133 -21.65 1.375
2048: 180.133 -13.65 1.375
2049: 187.061 -17.65 1.375
2050: 187.061 -9.65 1.375
2051: 193.99 -13.65 1.375
2052: 193.99 -5.65 1.375
2053: 0 -133.65 1.375
2054: 6.9282 -137.65 1.375
2055: 6.9282 -129.65 1.375
2056: 13.8564 -133.65 1.375
2057: 13.8564 -125.65 1.375
2058: 20.7846 -129.65 1.375
2059: 20.7846 -121.65 1.375
2060: 27.7128 -125.65 1.375
2061: 27.7128 -117.65 1.375
2062: 34.641 -121.65 1.375
2063: 34.641 -113.65 1.375
2064: 41.5692 -117.65 1.375
2065: 41.5692 -109.65 1.375
2066: 48.4974 -113.65 1.375
2067: 48.4974 -105.65 1.375
2068: 55.4256 -109.65 1.375
2069: 55.4256 -101.65 1.375
2070: 62.3538 -105.65 1.375
2071: 62.3538 -97.65 1.375
2072: 69.282 -101.65 1.375
2073: 69.282 -93.65 1.375
2074: 76.2102 -97.65 1.375
2075: 76.2102 -89.65 1.375
2076: 83.1384 -93.65 1.375
2077: 83.1384 -85.65 1.375
2078: 90.0666 -89.65 1.375
2079: 90.0666 -81.65 1.375
2080: 96.9948 -85.65 1.375
2081: 96.9948 -77.65 1.375
2082: 103.923 -81.65 1.375
2083: 103.923 -73.65 1.375
2084: 110.851 -77.65 1.375
2085: 110.851 -69.65 1.375
2086: 117.779 -73.65 1.375
2087: 117.779 -65.65 1.375
2088: 124.708 -69.65 1.375
2089: 124.708 -61.65 1.375
2090: 131.636 -65.65 1.375
2091: 131.636 -57.65 1.375
2092: 138.564 -61.65 1.375
2093: 138.564 -53.65 1.375
2094: 145.492 -57.65 1.375
2095: 145.492 -49.65 1.375
2096: 152.42 -53.65 1.375
2097: 152.42 -45.65 1.375
2098: 159.349 -49.65 1.375
2099: 159.349 -41.65 1.375
2100: 166.277 -45.65 1.375
2101: 166.277 -37.65 1.375
2102: 173.205 -41.65 1.375
2103: 173.205 -33.65 1.375
2104: 180.133 -37.65 1.375
2105: 180.133 -29.65 1.375
2106: 187.061 -33.65 1.375
2107: 187.061 -25.65 1.375
2108: 193.99 -29.65 1.375
2109: 193.99 -21.65 1.375
2110: 0 -149.65 1.375
2111: 6.9282 -153.65 1.375
2112: 6.9282 -145.65 1.375
2113: 13.8564 -149.65 1.375
2114: 13.8564 -141.65 1.375
2115: 20.7846 -145.65 1.375
2116: 20.7846 -137.65 1.375
2117: 27.7128 -141.65 1.375
2118: 27.7128 -133.65 1.375
2119: 34.641 -137.65 1.375
2120: 34.641 -129.65 1.375
2121: 41.5692 -133.65 1.375
2122: 41.5692 -125.65 1.375
2123: 48.4974 -129.65 1.375
2124: 48.4974 -121.65 1.375
2125: 55.4256 -125.65 1.375
2126: 55.4256 -117.65 1.375
2127: 62.3538 -121.65 1.375
2128: 62.3538 -113.65 1.375
2129: 69.282 -117.65 1.375
2130: 69.282 -109.65 1.375
2131: 76.2102 -113.65 1.375
2132: 76.2102 -105.65 1.375
2133: 83.1384 -109.65 1.375
2134: 83.1384 -101.65 1.375
2135: 90.0666 -105.65 1.375
2136: 90.0666 -97.65 1.375
2137: 96.9948 -101.65 1.375
2138: 96.9948 -93.65 1.375
2139: 103.923 -97.65 1.375
2140: 103.923 -89.65 1.375
2141: 110.851 -93.65 1.375
2142: 110.851 -85.65 1.375
2143: 117.779 -89.65 1.375
2144: 117.779 -81.65 1.375
2145: 124.708 -85.65 1.375
2146: 124.708 -77.65 1.375
2147: 131.636 -81.65 1.375
2148: 131.636 -73.65 1.375
2149: 138.564 -77.65 1.375
2150: 138.564 -69.65 1.375
2151: 145.492 -73.65 1.375
2152: 145.492 -65.65 1.375
2153: 152.42 -69.65 1.375
2154: 152.42 -61.65 1.375
2155: 159.349 -65.65 1.375
2156: 159.349 -57.65 1.375
2157: 166.277 -61.65 1.375
2158: 166.277 -53.65 1.375
2159: 173.205 -57.65 1.375
2160: 173.205 -49.65 1.375
2161: 180.133 -53.65 1.375
2162: 180.133 -45.65 1.375
2163: 187.061 -49.65 1.375
2164: 187.061 -41.65 1.375
2165: 193.99 -45.65 1.375
2166: 193.99 -37.65 1.375
2167: 0 -165.65 1.375
2168: 6.9282 -169.65 1.375
2169: 6.9282 -161.65 1.375
2170: 13.8564 -165.65 1.375
2171: 13.8564 -157.65 1.375
2172: 20.7846 -161.65 1.375
2173: 20.7846 -153.65 1.375
2174: 27.7128 -157.65 1.375
2175: 27.7128 -149.65 1.375
2176: 34.641 -153.65 1.375
2177: 34.641 -145.65 1.375
2178: 41.5692 -149.65 1.375
2179: 41.5692 -141.65 1.375
2180: 48.4974 -145.65 1.375
2181: 48.4974 -137.65 1.375
2182: 55.4256 -141.65 1.375
2183: 55.4256 -133.65 1.375
2184: 62.3538 -137.65 1.375
2185: 62.3538 -129.65 1.375
2186: 69.282 -133.65 1.375
2187: 69.282 -125.65 1.375
2188: 76.2102 -129.65 1.375
2189: 76.2102 -121.65 1.375
2190: 83.1384 -125.65 1.375
2191: 83.1384 -117.65 1.375
2192: 90.0666 -121.65 1.375
2193: 90.0666 -113.65 1.375
2194: 96.9948 -117.65 1.375
2195: 96.9948 -109.65 1.375
2196: 103.923 -113.65 1.375
2197: 103.923 -105.65 1.375
2198: 110.851 -109.65 1.375
2199: 110.851 -101.65 1.375
2200: 117.779 -105.65 1.375
2201: 117.779 -97.65 1.375
2202: 124.708 -101.65 1.375
2203: 124.708 -93.65 1.375
2204: 131.636 -97.65 1.375
2205: 131.636 -89.65 1.375
2206: 138.564 -93.65 1.375
2207: 138.564 -85.65 1.375
2208: 145.492 -89.65 1.375
2209: 145.492 -81.65 1.375
2210: 152.42 -85.65 1.375
2211: 152.42 -77.65 1.375
2212: 159.349 -81.65 1.375
2213: 159.349 -73.65 1.375
2214: 166.277 -77.65 1.375
2215: 166.277 -69.65 1.375
2216: 173.205 -73.65 1.375
2217: 173.205 -65.65 1.375
2218: 180.133 -69.65 1.375
2219: 180.133 -61.65 1.375
2220: 187.061 -65.65 1.375
2221: 187.061 -57.65 1.375
2222: 193.99 -61.65 1.375
2223: 193.99 -53.65 1.375
2224: 0 -181.65 1.375
2225: 6.9282 -185.65 1.375
2226: 6.9282 -177.65 1.375
2227: 13.8564 -181.65 1.375
2228: 13.8564 -173.65 1.375
2229: 20.7846 -177.65 1.375
2230: 20.7846 -169.65 1.375
2231: 27.7128 -173.65 1.375
2232: 27.7128 -165.65 1.375
2233: 34.641 -169.65 1.375
2234: 34.641 -161.65 1.375
2235: 41.5692 -165.65 1.375
2236: 41.5692 -157.65 1.375
2237: 48.4974 -161.65 1.375
2238: 48.4974 -153.65 1.375
2239: 55.4256 -157.65 1.375
2240: 55.4256 -149.65 1.375
2241: 62.3538 -153.65 1.375
2242: 62.3538 -145.65 1.375
2243: 69.282 -149.65 1.375
2244: 69.282 -141.65 1.375
2245: 76.2102 -145.65 1.375
2246: 76.2102 -137.65 1.375
2247: 83.1384 -141.65 1.375
2248: 83.1384 -133.65 1.375
2249: 90.0666 -137.65 1.375
2250: 90.0666 -129.65 1.375
2251: 96.9948 -133.65 1.375
2252: 96.9948 -125.65 1.375
2253: 103.923 -129.65 1.375
2254: 103.923 -121.65 1.375
2255: 110.851 -125.65 1.375
2256: 110.851 -117.65 1.375
2257: 117.779 -121.65 1.375
2258: 117.779 -113.65 1.375
2259: 124.708 -117.65 1.375
2260: 124.708 -109.65 1.375
2261: 131.636 -113.65 1.375
2262: 131.636 -105.65 1.375
2263: 138.564 -109.65 1.375
2264: 138.564 -101.65 1.375
2265: 145.492 -105.65 1.375
2266: 145.492 -97.65 1.375
2267: 152.42 -101.65 1.375
2268: 152.42 -93.65 1.375
2269: 159.349 -97.65 1.375
2270: 159.349 -89.65 1.375
2271: 166.277 -93.65 1.375
2272: 166.277 -85.65 1.375
2273: 173.205 -89.65 1.375
2274: 173.205 -81.65 1.375
2275: 180.133 -85.65 1.375
2276: 180.133 -77.65 1.375
2277: 187.061 -81.65 1.375
2278: 187.061 -73.65 1.375
2279: 193.99 -77.65 1.375
2280: 193.99 -69.65 1.375
2281: 0 -197.65 1.375
2282: 6.9282 -201.65 1.375
2283: 6.9282 -193.65 1.375
2284: 13.8564 -197.65 1.375
2285: 13.8564 -189.65 1.375
2286: 20.7846 -193.65 1.375
2287: 20.7846 -185.65 1.375
2288: 27.7128 -189.65 1.375
2289: 27.7128 -181.65 1.375
2290: 34.641 -185.65 1.375
2291: 34.641 -177.65 1.375
2292: 41.5692 -181.65 1.375
2293: 41.5692 -173.65 1.375
2294: 48.4974 -177.65 1.375
2295: 48.4974 -169.65 1.375
2296: 55.4256 -173.65 1.375
2297: 55.4256 -165.65 1.375
2298: 62.3538 -169.65 1.375
2299: 62.3538 -161.65 1.375
2300: 69.282 -165.65 1.375
2301: 69.282 -157.65 1.375
2302: 76.2102 -161.65 1.375
2303: 76.2102 -153.65 1.375
2304: 83.1384 -157.65 1.375
2305: 83.1384 -149.65 1.375
2306: 90.0666 -153.65 1.375
2307: 90.0666 -145.65 1.375
2308: 96.9948 -149.65 1.375
2309: 96.9948 -141.65 1.375
2310: 103.923 -145.65 1.375
2311: 103.923 -137.65 1.375
2312: 110.851 -141.65 1.375
2313: 110.851 -133.65 1.375
2314: 117.779 -137.65 1.375
2315: 117.779 -129.65 1.375
2316: 124.708 -133.65 1.375
2317: 124.708 -125.65 1.375
2318: 131.636 -129.65 1.375
2319: 131.636 -121.65 1.375
2320: 138.564 -125.65 1.375
2321: 138.564 -117.65 1.375
2322: 145.492 -121.65 1.375
2323: 145.492 -113.65 1.375
2324: 152.42 -117.65 1.375
2325: 152.42 -109.65 1.375
2326: 159.349 -113.65 1.375
2327: 159.349 -105.65 1.375
2328: 166.277 -109.65 1.375
2329: 166.277 -101.65 1.375
2330: 173.205 -105.65 1.375
2331: 173.205 -97.65 1.375
2332: 180.133 -101.65 1.375
2333: 180.133 -93.65 1.375
2334: 187.061 -97.65 1.375
2335: 187.061 -89.65 1.375
2336: 193.99 -93.65 1.375
2337: 193.99 -85.65 1.375
2338: 0 -213.65 1.375
2339: 6.9282 -217.65 1.375
2340: 6.9282 -209.65 1.375
2341: 13.8564 -213.65 1.375
2342: 13.8564 -205.65 1.375
2343: 20.7846 -209.65 1.375
2344: 20.7846 -201.65 1.375
2345: 27.7128 -205.65 1.375
2346: 27.7128 -197.65 1.375
2347: 34.641 -201.65 1.375
2348: 34.641 -193.65 1.375
2349: 41.5692 -197.65 1.375
2350: 41.5692 -189.65 1.375
2351: 48.4974 -193.65 1.375
2352: 48.4974 -185.65 1.375
2353: 55.4256 -189.65 1.375
2354: 55.4256 -181.65 1.375
2355: 62.3538 -185.65 1.375
2356: 62.3538 -177.65 1.375
2357: 69.282 -181.65 1.375
2358: 69.282 -173.65 1.375
2359: 76.2102 -177.65 1.375
2360: 76.2102 -169.65 1.375
2361: 83.1384 -173.65 1.375
2362: 83.1384 -165.65 1.375
2363: 90.0666 -169.65 1.375
2364: 90.0666 -161.65 1.375
2365: 96.9948 -165.65 1.375
2366: 96.9948 -157.65 1.375
2367: 103.923 -161.65 1.375
2368: 103.923 -153.65 1.375
2369: 110.851 -157.65 1.375
2370: 110.851 -149.65 1.375
2371: 117.779 -153.65 1.375
2372: 117.779 -145.65 1.375
2373: 124.708 -149.65 1.375
2374: 124.708 -141.65 1.375
2375: 131.636 -145.65 1.375
2376: 131.636 -137.65 1.375
2377: 138.564 -141.65 1.375
2378: 138.564 -133.65 1.375
2379: 145.492 -137.65 1.375
2380: 145.492 -129.65 1.375
2381: 152.42 -133.65 1.375
2382: 152.42 -125.65 1.375
2383: 159.349 -129.65 1.375
2384: 159.349 -121.65 1.375
2385: 166.277 -125.65 1.375
2386: 166.277 -117.65 1.375
2387: 173.205 -121.65 1.375
2388: 173.205 -113.65 1.375
2389: 180.133 -117.65 1.375
2390: 180.133 -109.65 1.375
2391: 187.061 -113.65 1.375
2392: 187.061 -105.65 1.375
2393: 193.99 -109.65 1.375
2394: 193.99 -101.65 1.375
