Dot centers and radii:
291: -83.1384 26.35 1.375
292: -76.2102 22.35 1.375
293: -83.1384 18.35 1.375
294: -76.2102 14.35 1.375
295: -83.1384 10.35 1.375
296: -76.2102 6.35 1.375
297: -83.1384 2.35 1.375
298: -76.2102 -1.65 1.375
299: -83.1384 -5.65 1.375
300: -76.2102 -9.65 1.375
301: -83.1384 -13.65 1.375
302: -76.2102 -17.65 1.375
303: -83.1384 -21.65 1.375
304: -76.2102 -25.65 1.375
305: -83.1384 -29.65 1.375
306: -76.2102 -33.65 1.375
307: -83.1384 -37.65 1.375
308: -76.2102 -41.65 1.375
309: -83.1384 -45.65 1.375
310: -76.2102 -49.65 1.375
311: -83.1384 -53.65 1.375
312: -76.2102 -57.65 1.375
313: -83.1384 -61.65 1.375
314: -76.2102 -65.65 1.375
315: -83.1384 -69.65 1.375
316: -76.2102 -73.65 1.375
317: -83.1384 -77.65 1.375
318: -76.2102 -81.65 1.375
319: -83.1384 -85.65 1.375
320: -76.2102 -89.65 1.375
321: -83.1384 -93.65 1.375
322: -76.2102 -97.65 1.375
323: -83.1384 -101.65 1.375
324: -76.2102 -105.65 1.375
325: -83.1384 -109.65 1.375
326: -76.2102 -113.65 1.375
327: -83.1384 -117.65 1.375
328: -76.2102 -121.65 1.375
329: -83.1384 -125.65 1.375
330: -76.2102 -129.65 1.375
331: -83.1384 -133.65 1.375
332: -76.2102 -137.65 1.375
333: -83.1384 -141.65 1.375
334: -76.2102 -145.65 1.375
335: -83.1384 -149.65 1.375
336: -76.2102 -153.65 1.375
337: -83.1384 -157.65 1.375
338: -76.2102 -161.65 1.375
339: -83.1384 -165.65 1.375
340: -76.2102 -169.65 1.375
341: -83.1384 -173.65 1.375
342: -76.2102 -177.65 1.375
343: -90.0666 54.35 1.375
344: -96.9948 50.35 1.375
345: -90.0666 46.35 1.375
346: -96.9948 42.35 1.375
347: -90.0666 38.35 1.375
348: -96.9948 34.35 1.375
349: -90.0666 30.35 1.375
350: -96.9948 26.35 1.375
351: -90.0666 22.35 1.375
352: -96.9948 18.35 1.375
353: -90.0666 14.35 1.375
354: -96.9948 10.35 1.375
355: -90.0666 6.35 1.375
356: -96.9948 2.35 1.375
357: -90.0666 -1.65 1.375
358: -96.9948 -5.65 1.375
359: -90.0666 -9.65 1.375
360: -96.9948 -13.65 1.375
361: -90.0666 -17.65 1.375
362: -96.9948 -21.65 1.375
363: -90.0666 -25.65 1.375
364: -96.9948 -29.65 1.375
365: -90.0666 -33.65 1.375
366: -96.9948 -37.65 1.375
367: -90.0666 -41.65 1.375
368: -96.9948 -45.65 1.375
369: -90.0666 -49.65 1.375
370: -96.9948 -53.65 1.375
371: -90.0666 -57.65 1.375
372: -96.9948 -61.65 1.375
373: -90.0666 -65.65 1.375
374: -96.9948 -69.65 1.375
375: -90.0666 -73.65 1.375
376: -96.9948 -77.65 1.375
377: -90.0666 -81.65 1.375
378: -96.9948 -85.65 1.375
379: -90.0666 -89.65 1.375
380: -96.9948 -93.65 1.375
381: -90.0666 -97.65 1.375
382: -96.9948 -101.65 1.375
383: -90.0666 -105.65 1.375
384: -96.9948 -109.65 1.375
385: -90.0666 -113.65 1.375
386: -96.9948 -117.65 1.375
387: -90.0666 -121.65 1.375
388: -96.9948 -125.65 1.375
389: -90.0666 -129.65 1.375
390: -96.9948 -133.65 1.375
391: -90.0666 -137.65 1.375
392: -96.9948 -141.65 1.375
393: -90.0666 -145.65 1.375
394: -96.9948 -149.65 1.375
395: -90.0666 -153.65 1.375
396: -96.9948 -157.65 1.375
397: -90.0666 -161.65 1.375
398: -96.9948 -165.65 1.375
399: -90.0666 -169.65 1.375
400: -103.923 62.35 1.375
401: -110.851 58.35 1.375
402: -103.923 54.35 1.375
403: -110.851 50.35 1.375
404: -103.923 46.35 1.375
405: -110.851 42.35 1.375
406: -103.923 38.35 1.375
407: -110.851 34.35 1.375
408: -103.923 30.35 1.375
409: -110.851 26.35 1.375
410: -103.923 22.35 1.375
411: -110.851 18.35 1.375
412: -103.923 14.35 1.375
413: -110.851 10.35 1.375
414: -103.923 6.35 1.375
415: -110.851 2.35 1.375
416: -103.923 -1.65 1.375
417: -110.851 -5.65 1.375
418: -103.923 -9.65 1.375
419: -110.851 -13.65 1.375
420: -103.923 -17.65 1.375
421: -110.851 -21.65 1.375
422: -103.923 -25.65 1.375
423: -110.851 -29.65 1.375
424: -103.923 -33.65 1.375
425: -110.851 -37.65 1.375
426: -103.923 -41.65 1.375
427: -110.851 -45.65 1.375
428: -103.923 -49.65 1.375
429: -110.851 -53.65 1.375
430: -103.923 -57.65 1.375
431: -110.851 -61.65 1.375
432: -103.923 -65.65 1.375
433: -110.851 -69.65 1.375
434: -103.923 -73.65 1.375
435: -110.851 -77.65 1.375
436: -103.923 -81.65 1.375
437: -110.851 -85.65 1.375
438: -103.923 -89.65 1.375
439: -110.851 -93.65 1.375
440: -103.923 -97.65 1.375
441: -110.851 -101.65 1.375
442: -103.923 -105.65 1.375
443: -110.851 -109.65 1.375
444: -103.923 -113.65 1.375
445: -110.851 -117.65 1.375
446: -103.923 -121.65 1.375
447: -110.851 -125.65 1.375
448: -103.923 -129.65 1.375
449: -110.851 -133.65 1.375
450: -103.923 -137.65 1.375
451: -110.851 -141.65 1.375
452: -103.923 -145.65 1.375
453: -110.851 -149.65 1.375
454: -103.923 -153.65 1.375
455: -110.851 -157.65 1.375
456: -103.923 -161.65 1.375
457: -117.779 70.35 1.375
458: -124.708 66.35 1.375
459: -117.779 62.35 1.375
460: -124.708 58.35 1.375
461: -117.779 54.35 1.375
462: -124.708 50.35 1.375
463: -117.779 46.35 1.375
464: -124.708 42.35 1.375
465: -117.779 38.35 1.375
466: -124.708 34.35 1.375
467: -117.779 30.35 1.375
468: -124.708 26.35 1.375
469: -117.779 22.35 1.375
470: -124.708 18.35 1.375
471: -117.779 14.35 1.375
472: -124.708 10.35 1.375
473: -117.779 6.35 1.375
474: -124.708 2.35 1.375
475: -117.779 -1.65 1.375
476: -124.708 -5.65 1.375
477: -117.779 -9.65 1.375
478: -124.708 -13.65 1.375
479: -117.779 -17.65 1.375
480: -124.708 -21.65 1.375
481: -117.779 -25.65 1.375
482: -124.708 -29.65 1.375
483: -117.779 -33.65 1.375
484: -124.708 -37.65 1.375
485: -117.779 -41.65 1.375
486: -124.708 -45.65 1.375
487: -117.779 -49.65 1.375
488: -124.708 -53.65 1.375
489: -117.779 -57.65 1.375
490: -124.708 -61.65 1.375
491: -117.779 -65.65 1.375
492: -124.708 -69.65 1.375
493: -117.779 -73.65 1.375
