Fiber centers:
661: -166.277 -40
662: -159.349 -44
663: -166.277 -48
664: -159.349 -52
665: -166.277 -56
666: -159.349 -60
667: -166.277 -64
668: -159.349 -68
669: -166.277 -72
670: -159.349 -76
671: -166.277 -80
672: -159.349 -84
673: -166.277 -88
674: -159.349 -92
675: -166.277 -96
676: -159.349 -100
677: -166.277 -104
678: -159.349 -108
679: -166.277 -112
680: -159.349 -116
681: -166.277 -120
682: -159.349 -124
683: -166.277 -128
684: -159.349 -132
685: -173.205 100
686: -180.133 96
687: -173.205 92
688: -180.133 88
689: -173.205 84
690: -180.133 80
691: -173.205 76
692: -180.133 72
693: -173.205 68
694: -180.133 64
695: -173.205 60
696: -180.133 56
697: -173.205 52
698: -180.133 48
699: -173.205 44
700: -180.133 40
701: -173.205 36
702: -180.133 32
703: -173.205 28
704: -180.133 24
705: -173.205 20
706: -180.133 16
707: -173.205 12
708: -180.133 8
709: -173.205 4
710: -180.133 0
711: -173.205 -4
712: -180.133 -8
713: -173.205 -12
714: -180.133 -16
715: -173.205 -20
716: -180.133 -24
717: -173.205 -28
718: -180.133 -32
719: -173.205 -36
720: -180.133 -40
721: -173.205 -44
722: -180.133 -48
723: -173.205 -52
724: -180.133 -56
725: -173.205 -60
726: -180.133 -64
727: -173.205 -68
728: -180.133 -72
729: -173.205 -76
730: -180.133 -80
731: -173.205 -84
732: -180.133 -88
733: -173.205 -92
734: -180.133 -96
735: -173.205 -100
736: -180.133 -104
737: -173.205 -108
738: -180.133 -112
739: -173.205 -116
740: -180.133 -120
741: -173.205 -124
742: -187.061 108
743: -193.99 104
744: -187.061 100
745: -193.99 96
746: -187.061 92
747: -193.99 88
748: -187.061 84
749: -193.99 80
750: -187.061 76
751: -193.99 72
752: -187.061 68
753: -193.99 64
754: -187.061 60
755: -193.99 56
756: -187.061 52
757: -193.99 48
758: -187.061 44
759: -193.99 40
760: -187.061 36
761: -193.99 32
762: -187.061 28
763: -193.99 24
764: -187.061 20
765: -193.99 16
766: -187.061 12
767: -193.99 8
768: -187.061 4
769: -193.99 0
770: -187.061 -4
771: -193.99 -8
772: -187.061 -12
773: -193.99 -16
774: -187.061 -20
775: -193.99 -24
776: -187.061 -28
777: -193.99 -32
778: -187.061 -36
779: -193.99 -40
780: -187.061 -44
781: -193.99 -48
782: -187.061 -52
783: -193.99 -56
784: -187.061 -60
785: -193.99 -64
786: -187.061 -68
787: -193.99 -72
788: -187.061 -76
789: -193.99 -80
790: -187.061 -84
791: -193.99 -88
792: -187.061 -92
793: -193.99 -96
794: -187.061 -100
795: -193.99 -104
796: -187.061 -108
797: -193.99 -112
798: -187.061 -116
799: 6.9282 4
800: 6.9282 12
801: 0 8
802: 0 16
803: -6.9282 12
804: -6.9282 20
805: -13.8564 16
806: -13.8564 24
807: -20.7846 20
808: -20.7846 28
809: -27.7128 24
810: -27.7128 32
811: -34.641 28
812: -34.641 36
813: -41.5692 32
814: -41.5692 40
815: -48.4974 36
816: -48.4974 44
817: -55.4256 40
818: -55.4256 48
819: -62.3538 44
820: -62.3538 52
821: -69.282 48
822: -69.282 56
823: -76.2102 52
824: -76.2102 60
825: -83.1384 56
826: -83.1384 64
827: -90.0666 60
828: -90.0666 68
829: -96.9948 64
830: -96.9948 72
831: -103.923 68
832: -103.923 76
833: -110.851 72
834: -110.851 80
835: -117.779 76
836: -117.779 84
837: -124.708 80
838: -124.708 88
839: -131.636 84
840: -131.636 92
841: -138.564 88
842: -138.564 96
843: -145.492 92
844: -145.492 100
845: -152.42 96
846: -152.42 104
847: -159.349 100
848: -159.349 108
849: -166.277 104
850: -166.277 112
851: -173.205 108
852: -173.205 116
853: -180.133 112
854: -180.133 120
855: -187.061 116
856: 20.7846 12
857: 20.7846 20
858: 13.8564 16
859: 13.8564 24
860: 6.9282 20
861: 6.9282 28
862: 0 24
863: 0 32
864: -6.9282 28
865: -6.9282 36
866: -13.8564 32
867: -13.8564 40
868: -20.7846 36
869: -20.7846 44
870: -27.7128 40
871: -27.7128 48
872: -34.641 44
873: -34.641 52
874: -41.5692 48
875: -41.5692 56
876: -48.4974 52
877: -48.4974 60
878: -55.4256 56
879: -55.4256 64
880: -62.3538 60
881: -62.3538 68
882: -69.282 64
883: -69.282 72
884: -76.2102 68
885: -76.2102 76
886: -83.1384 72
887: -83.1384 80
888: -90.0666 76
889: -90.0666 84
890: -96.9948 80
891: -96.9948 88
892: -103.923 84
893: -103.923 92
894: -110.851 88
895: -110.851 96
896: -117.779 92
897: -117.779 100
898: -124.708 96
899: -124.708 104
900: -131.636 100
901: -131.636 108
902: -138.564 104
903: -138.564 112
904: -145.492 108
905: -145.492 116
906: -152.42 112
907: -152.42 120
908: -159.349 116
909: -159.349 124
910: -166.277 120
911: -166.277 128
912: -173.205 124
913: 34.641 20
914: 34.641 28
915: 27.7128 24
916: 27.7128 32
917: 20.7846 28
918: 20.7846 36
919: 13.8564 32
920: 13.8564 40
921: 6.9282 36
922: 6.9282 44
923: 0 40
924: 0 48
925: -6.9282 44
926: -6.9282 52
927: -13.8564 48
928: -13.8564 56
929: -20.7846 52
930: -20.7846 60
931: -27.7128 56
932: -27.7128 64
933: -34.641 60
934: -34.641 68
935: -41.5692 64
936: -41.5692 72
937: -48.4974 68
938: -48.4974 76
939: -55.4256 72
940: -55.4256 80
941: -62.3538 76
942: -62.3538 84
943: -69.282 80
944: -69.282 88
945: -76.2102 84
946: -76.2102 92
947: -83.1384 88
948: -83.1384 96
949: -90.0666 92
950: -90.0666 100
951: -96.9948 96
952: -96.9948 104
953: -103.923 100
954: -103.923 108
955: -110.851 104
956: -110.851 112
957: -117.779 108
958: -117.779 116
959: -124.708 112
960: -124.708 120
961: -131.636 116
962: -131.636 124
963: -138.564 120
964: -138.564 128
965: -145.492 124
966: -145.492 132
967: -152.42 128
968: -152.42 136
969: -159.349 132
970: 48.4974 28
971: 48.4974 36
972: 41.5692 32
973: 41.5692 40
974: 34.641 36
975: 34.641 44
976: 27.7128 40
977: 27.7128 48
978: 20.7846 44
979: 20.7846 52
980: 13.8564 48
981: 13.8564 56
982: 6.9282 52
983: 6.9282 60
984: 0 56
985: 0 64
986: -6.9282 60
987: -6.9282 68
988: -13.8564 64
989: -13.8564 72
990: -20.7846 68
991: -20.7846 76
992: -27.7128 72
993: -27.7128 80
994: -34.641 76
995: -34.641 84
996: -41.5692 80
997: -41.5692 88
998: -48.4974 84
999: -48.4974 92
1000: -55.4256 88
1001: -55.4256 96
1002: -62.3538 92
1003: -62.3538 100
1004: -69.282 96
1005: -69.282 104
1006: -76.2102 100
1007: -76.2102 108
1008: -83.1384 104
1009: -83.1384 112
1010: -90.0666 108
1011: -90.0666 116
1012: -96.9948 112
1013: -96.9948 120
1014: -103.923 116
1015: -103.923 124
1016: -110.851 120
1017: -110.851 128
1018: -117.779 124
1019: -117.779 132
1020: -124.708 128
1021: -124.708 136
1022: -131.636 132
1023: -131.636 140
1024: -138.564 136
1025: -138.564 144
1026: -145.492 140
1027: 62.3538 36
1028: 62.3538 44
1029: 55.4256 40
1030: 55.4256 48
1031: 48.4974 44
1032: 48.4974 52
1033: 41.5692 48
1034: 41.5692 56
1035: 34.641 52
1036: 34.641 60
1037: 27.7128 56
1038: 27.7128 64
1039: 20.7846 60
1040: 20.7846 68
1041: 13.8564 64
1042: 13.8564 72
